Title,Question,Answer,Equipment,Topic,Severity,Source,Date Reported,Repair Type,Tags
"Roaster gas flames coming from burner openings - low gas pressure","The roaster had flames coming out of the burner area openings and we could smell gas. We shut down the machine and called the gas company. Gas pressure measured at 7 inches water column.","Two possible causes: 1) Gas leak in the pipe (flame would come from the leak location), 2) Gas pressure too low - ideal pressure should be 8-10 inches water column (7 is too low). With low gas pressure, the pilot flame is too low and when the burner ignites, it takes a few seconds. During this delay, the burner chamber fills with gas, and when the flame reaches it, it creates a large flame shooting out the sides. The gas company confirmed no leaks. Solution: Check pilot flame height (take a photo/video for Packint), and address gas pressure - determine if the low pressure is temporary or permanent. If the pilot flame is too low, Juri can explain how to adjust its height.",Roaster,Mechanical,critical,"Packint Tech Support - Juri / Lorenzo Datei",2021-04-22,Troubleshooting,"gas flames, burner, gas pressure, water column, pilot flame, safety, ignition delay"
"Conche liquid sensor PLC modification","How can we disconnect the liquid sensor on the conche without getting alarms?","Juri needs to modify the PLC program to disable the liquid sensor alarm. This modification will be done at the same time as the mill PLC modifications. Without the program change, disconnecting the sensor will trigger a continuous alarm. The modification was scheduled to be done remotely.",Conche,Software/PLC,medium,"Packint Tech Support - Juri",2021-04-22,Troubleshooting,"liquid sensor, PLC modification, alarm, disconnect, remote programming"
"Mistral temperature knob accidentally moved - reading 160C","The Mistral on the conche is reading 20A at 160C even though it's set to the lowest temperature. Usually we run it at 80-90C.","The red temperature knob was accidentally moved, likely when the unit was off. The dial is extremely sensitive - even a slight nudge will cause the temperature to increase dramatically. Turn the knob counterclockwise to bring the temperature back to a maximum of 60C. Always verify the temperature when starting the Mistral because the unit can reach very high temperatures. The adjustment resolved the issue immediately.",Conche,Mechanical,high,"Packint Tech Support - Alvaro / Lorenzo Datei",2021-06-04,Troubleshooting,"mistral, temperature knob, red dial, 160C, sensitive, counterclockwise, overheating"
"Conche product temperature calibration procedure","The conche display shows the product temperature about 8C lower than what we measure with external thermometers. How can we calibrate the temperature sensor?","To calibrate, you need to collect at least 10 paired measurements: one column with the temperature shown on the conche display and a second column with your thermometer reading. Take measurements at different times of day, across different days, and ideally with different products. If the relationship between the two temperatures is linear, the software can be corrected. Measure the surface temperature (and bottom temperature if possible) with a contact thermometer - not a laser, as the surface may be affected by hot air from the Mistral. The measurements need to be compiled into a spreadsheet and sent to Packint.",Conche,Mechanical,medium,"Packint Tech Support - Lorenzo Datei",2021-06-04,Troubleshooting,"temperature calibration, product temp, thermometer, linear correction, software, measurement pairs"
"Ball mill max temperature settings for dark and milk chocolate","What are the correct maximum water and product temperature settings for the ball mill when processing dark vs milk chocolate?","Dark Chocolate: Water 45C max, Product 55C max. Milk Chocolate: Water 40C max, Product 45C max. These settings should be used for both the 50kg and 130kg ball mills.",Ball Mill,Mechanical,low,"Packint Tech Support - Alvaro",2021-10-25,Operation,"temperature settings, dark chocolate, milk chocolate, water temp, product temp, max temperature"
"Ball mill 55% dark chocolate processing - high viscosity","Processing 55% dark chocolate (45% sugar) in the ball mill. The product is very thick and the water temperature was set to 52C. Running for 165 minutes to reach 15 microns.","Water temperature should never exceed 40-45C. Set to: Product T 50, Delta 10. The thickness is caused by the high sugar content and fine refining (15 microns is very low). With more sugar and less cacao, the product will be more viscous. For the stirrer speed, use 50-60 Hz - maximum speed (60 Hz) reduces refining time but requires more cold water for temperature control. Never go below 50 Hz for the stirrer. Also check the water refill frequency - it should be set to 999 minutes, not 100 minutes. Setting it to 100 means fresh cold water enters every 100 minutes, which can cause sudden temperature drops.",Ball Mill,Mechanical,medium,"Packint Tech Support - Lorenzo Datei / Franklin",2021-07-27,Operation,"55% dark, viscosity, sugar content, water temperature, stirrer speed, Hz, refill frequency, 999 minutes"
"Roaster probe explanation - drum vs product temperature","The product temperature display on the roaster never goes above 103C. Is the probe accurate? We told another chocolate maker the temperatures don't seem reliable.","There are two probes: 1) DRUM temperature (upper probe, blue line on graph, position 9) - this is your SOLE AND ONLY REFERENCE. It measures the air/environment temperature in the drum center and controls the burner. 2) Product temperature (lower probe, red line) - this is a MERE REFERENCE only. It cannot measure actual bean temperature because beans are constantly moving, and Pt100 probes measure fluid/air temperature, not moving solid surfaces. The drum temperature IS the accurate internal temperature. When you set 120C, the burner stays on until the DRUM reaches 120C. Product temperature will always read lower (around 100C) because the beans absorb heat in that zone. After 70-80+ minutes at steady temperature, all three values (drum, product probe, bean surface) will converge, but that is not the goal of roasting.",Roaster,Mechanical,medium,"Packint Tech Support - Lorenzo Datei",2021-08-17,Operation,"drum temperature, product temperature, probe, Pt100, blue line, red line, reference, upper probe, lower probe"
"Cooling carousel sensor connector broken","The cooling carousel won't run unless someone physically holds the sensor cable in place. The connector that registers the circular door position has broken apart.","The sensor cable connector broke and needs replacement. A new connector was quoted and sent to the customer. In the meantime, holding/pushing the cable in allows the carousel to function. The wires inside may be frayed where the connector meets the cable. A new connector was quoted by Packint and shipped.",Roaster,Electrical,medium,"Packint Tech Support - Lorenzo Datei / Martina",2021-05-12,Repair,"cooling carousel, connector, sensor, broken, door sensor, cable replacement"
"Sifter brush bolts spinning - cannot remove for cleaning","The hex bolts holding the sifter brushes just spin because the back bolt inside the bristles has no resistance. This makes it impossible to remove the brushes for cleaning between allergens (milk to dark).","The issue with spinning bolts was escalated to the team for investigation. Note that for allergen cleaning between milk and dark chocolate, complete removal of residuals to meet legal thresholds is virtually impossible regardless of brush removal. However, cleaning as much as possible is still recommended. Lorenzo forwarded the issue to the mechanical team for a solution. More photos and videos were requested to document the specific bolt problem.",Sifter,Mechanical,medium,"Packint Tech Support - Lorenzo Datei",2021-05-12,Troubleshooting,"brush bolts, spinning, cleaning, allergens, hex bolts, bristles, milk to dark"
"Pre-refiner belt removal for cleaning","How do we remove the pre-refiner conveyor belt to clean underneath it and the metal roller bars?","On the opposite side of the belt from the motor, there are nuts that control belt tension. Loosen these tension nuts and the belt can be slid off. Once loose, the belt slides over the rollers for removal. Re-tension the nuts when reinstalling.",Pre-refiner,Mechanical,low,"Packint Tech Support - Lorenzo Datei",2021-05-20,Cleaning,"belt removal, tension nuts, rollers, cleaning, conveyor belt"
"Ball mill temperature dropping during processing - refill frequency","The ball mill temperature keeps dropping to 27C during processing. The blue heater button is on and the machine is in the second phase.","Check the water refill frequency setting - it was set to 100 minutes instead of 999 minutes. At 100 minutes, fresh cold water enters the mill every ~2 hours, causing the temperature to plummet. Change the refill frequency to 999 minutes. Additionally, for 55% dark chocolate with high sugar content, the stirrer speed should be between 50-60 Hz. The higher the stirrer speed, the faster the refining but the more cold water is needed. Seasonal temperature changes (colder incoming water in fall/winter) can also amplify the cooling effect. After correcting the refill setting, reheat the machine and restart processing.",Ball Mill,Mechanical,high,"Packint Tech Support - Lorenzo Datei / Franklin",2021-09-20,Troubleshooting,"temperature drop, refill frequency, 999 minutes, cold water, stirrer speed, heating"
"Facility move - disassembly and transport guidance","We are moving our facility in a few weeks (less than 8 km). What are the best practices for disassembling, palletizing, and transporting the equipment?","A 5-page disassembly manual PDF was provided. Key guidance: 1) Pallet dimensions from original 2019 and 2020 packing lists were shared. 2) Side walls on wooden crates are not necessary for short-distance moves - just ensure machines are securely tied to pallets and well-protected with film and packing material. 3) Remove wheels from the WINNOWER only (use the bolt holes where wheels were to secure it to the pallet). Leave wheels on all other machines. 4) For the 130kg ball mill: remove the adjustable feet before placing on the pallet. 5) Photos of properly palletized 130kg mills were shared for reference.",General - All Equipment,Mechanical,medium,"Packint Tech Support - Franklin / Alvaro / Juri / Martina",2021-12-08,Installation,"facility move, disassembly, palletizing, transport, packing, wheels, crating"
"Ball Mill 130 ball removal port - gasket and procedure","How do we remove the balls from the 130kg mill? How does the ball removal port cover work? How fast do the balls come out?","Remove the 2 sunken bolts - the 3rd bolt acts as a hinge (loosen it but don't remove). Pry above the seal with a flat tool (crowbar) carefully. WARNING: Do not open completely as balls will come out very fast. Once you crack it open, you can reverse the cap to stop the flow, then put back one screw and slide the cap to start/stop the flow as needed. The blue seal/gasket is a rubber seal. Replacement gaskets were available from the NY office. When installing new gaskets, make 9mm holes for the 3 bolts by placing the gasket over the cover and marking hole locations.",Ball Mill,Mechanical,medium,"Packint Tech Support - Alvaro / Lorenzo Datei",2021-12-26,Operation,"ball removal, port, gasket, blue seal, crowbar, 130kg, sunken bolts, hinge"
"Anti-static bar for pre-refiner - product inquiry","We noticed Packint has an anti-static bar for the pre-refiner. Who inspired that? How much does it cost?","The anti-static bar was inspired by Hubert Masse, a chocolate maker in France. It was tested and works well. Price is approximately $1000 (quotation sent by email). However, static is not always present - it depends on the environment and occurs particularly at low humidity. Proper grounding of machines also plays an important role in reducing static. A formal quotation was sent via email by Martina.",Pre-refiner,Electrical,low,"Packint Tech Support - Lorenzo Datei / Martina",2021-04-05,Specification,"anti-static bar, static, humidity, grounding, pre-refiner, Hubert Masse"
"Ball Mill 130 online connectivity and software update","Can we use the ball mill 130 now that the router is online? Are there any limitations?","The router and ball mill are online. The machine can be used immediately - the pending software update does not limit machine use at this time. Software modifications will be loaded from Italy and coordinated with Juri to update. The Sevio router configuration file was provided for USB setup (FAT32 format required).",Ball Mill,Software/PLC,low,"Packint Tech Support - Franklin",2021-04-05,Installation,"online, router, Sevio, software update, connectivity, FAT32, USB"
