Title,Question,Answer,Equipment,Topic,Severity,Source,Date Reported,Repair Type,Tags
"Pizzato Safety Hinge Switch sticking on TK500CC","The Pizzato safety hinge switch on the TK500CC tank keeps sticking. Sometimes it works when detached from the lid but not when mounted. Can we adjust the internal screw?","Try cleaning the switch with WD-40 first. The switch is not serviceable internally - there is no adjustable screw that will fix it. If cleaning doesn't resolve the sticking, the entire switch needs to be replaced. The switch only works properly when mounted correctly on the door with proper alignment. When the hinge doesn't go back far enough past 90° to reset, it indicates the switch mechanism is worn.",General - All Equipment,Mechanical,medium,"Packint Tech Support - Giacomo",2024-04-15,Troubleshooting,"Pizzato, safety hinge switch, TK500CC, sticking, WD-40, not serviceable, replace"
"Stirrer motor high-pitched hum fixed via VFD parameter","The stirrer motor is making a high-pitched humming noise. What's causing it?","The high-pitched hum is caused by a VFD (Variable Frequency Drive) parameter setting. This can be adjusted remotely by Andrea to eliminate the noise. The Hz parameter needs to be changed in the VFD configuration. No physical repair is needed - it's purely an electronic setting adjustment.",Ball Mill,Electrical,low,"Packint Tech Support - Andrea, Giacomo",2024-05-01,Troubleshooting,"stirrer motor, high-pitched hum, VFD, parameter, Hz, remote fix, Andrea"
"T100 roaster internal support bars breaking off drum","We found that internal support bars inside the T100 roaster drum have broken off. How do we inspect and fix this?","Check the welds on the internal support bars by looking through the access holes from outside the cylinder, as well as inspecting inside the drum directly. The bars break due to weld fatigue from the rotational forces of heavy bean loads (100kg+). All bars need to be rewelded using stainless steel welding rods for added material strength. Welds made without added material will crack again. This is a recurring issue if not properly addressed with stronger welds.",Roaster,Mechanical,critical,"Packint Tech Support - Giacomo",2024-05-10,Repair,"T100, roaster, support bars, broken, drum, welds, stainless steel, fatigue, reweld"
"Chiller water connections - which port is inlet vs outlet","How do we identify which port is the inlet and outlet on the chiller water connections?","The top connection is the water inlet (IN) and the bottom connection is the outlet (OUT). The yellow-black indicator valve marks the inlet side. Remember: top = in, bottom = out. The chiller system uses a heat exchanger with two separate circuits - the chiller glycol circuit and the machine water circuit do NOT mix. The mains water connection stays for the auto-refill solenoid function.",General - All Equipment,Mechanical,low,"Packint Tech Support - Giacomo",2024-05-15,Installation,"chiller, water connections, top inlet, bottom outlet, yellow-black indicator, heat exchanger, glycol, auto-refill"
"Chiller system installation - heat exchanger dual circuits","We're installing the chiller system. How does the heat exchanger work with the existing water circuit?","The heat exchanger has two separate circuits that do NOT mix: (1) the chiller glycol circuit, and (2) the machine water circuit. The mains water supply stays connected for the auto-refill solenoid to top off the machine water circuit. A software change is needed remotely to integrate the chiller with the machine controls - give Packint 2-3 days advance notice to schedule the remote programming change.",General - All Equipment,Mechanical,medium,"Packint Tech Support - Giacomo",2024-05-20,Installation,"chiller, heat exchanger, two circuits, glycol, machine water, auto-refill, software change, remote programming"
"CO5000 minimum chocolate level for emulsifier operation","What's the minimum amount of chocolate needed in the CO5000 to run the emulsifier?","The CO5000 requires a minimum of 3000kg of chocolate to safely operate the emulsifier. You can run the stirrer without the emulsifier at lower chocolate levels. Running the emulsifier with insufficient product can cause violent shaking, bend the shaft, and shift the Teflon blade. The emulsifier speed range is 25Hz minimum to 40-45Hz maximum.",Conche,Operation,high,"Packint Tech Support - Giacomo, Alvaro",2024-01-20,Operation,"CO5000, minimum level, 3000kg, emulsifier, stirrer, speed range, 25Hz, 40-45Hz"
"Ball mill pump clog with allulose recipe","The Mill-50 pump is clogging when processing a recipe with allulose. The product turns into a concrete-like mass. We've made this recipe before without issues.","The clog is likely caused by humidity in the allulose ingredient. When allulose absorbs moisture, it can cause the product to harden into a concrete-like consistency that blocks the pump. Check the ingredient packaging - open or improperly stored packages absorb humidity. The same recipe can produce different results depending on ingredient humidity levels. Ensure all ingredients, especially allulose, are stored in sealed containers and check for moisture before use.",Ball Mill,Mechanical,high,"Packint Tech Support - Giacomo",2024-06-01,Troubleshooting,"Mill-50, pump clog, allulose, humidity, concrete, blockage, ingredient storage, moisture"
"CO250 liquid sensor not activating","The liquid sensor on the CO250 isn't activating. What should we check?","Check the connector connections to the sensor and ensure they are properly seated. Clean the sensor head - contamination can prevent proper readings. The liquid sensor switches the position of the 3-way valve. If the sensor detects product, it switches the valve to allow flow; if it doesn't detect product, the valve stays in the default position. Also check the wiring continuity from the sensor to the control panel.",Conche,Electrical,medium,"Packint Tech Support - Giacomo",2024-06-10,Troubleshooting,"CO250, liquid sensor, connector, clean sensor head, 3-way valve, wiring"
"Mill-50 pump can't push canola oil to conche","The Mill-50 pump can't push canola oil 7 feet up to the conche. The oil is too thin/fluid for the pump to move.","Canola oil is too low viscosity for the positive displacement pump to effectively push it vertically. Add sugar and 0.05% lecithin to increase viscosity so the pump can grip the product. Important: do NOT run sugar through the system without lecithin for more than 15 minutes, as dry sugar will damage the pump seals and create excessive friction.",Ball Mill,Operation,medium,"Packint Tech Support - Giacomo, Alvaro",2024-06-15,Operation,"Mill-50, pump, canola oil, low viscosity, add sugar, 0.05% lecithin, 15 minutes max without lecithin"
"CO250 pump shafts not turning - sheared pinion pins","The CO250 pump motor runs but the pump shafts don't turn. What's wrong?","The pins on the stub shaft have sheared, disconnecting the motor from the pump mechanism. A replacement pinion needs to be ordered from Italy. To remove the pump cover: use the alternating extraction pegs, turning 90° at a time to evenly extract it. The pump lobes can be removed using M12 bolts as a puller. The gearbox uses GADUS S2 V220 2 grease (250g capacity). Until the replacement pinion arrives, the pump cannot be operated.",Conche,Mechanical,critical,"Packint Tech Support - Giacomo",2024-06-20,Repair,"CO250, pump shafts, pinion, sheared pins, stub shaft, extraction pegs, 90 degrees, M12 bolts, GADUS S2 V220 2, 250g"
"Melting tank motor oil leak between motor and gearbox","The melting tank motor is leaking oil. How do we determine if it's mechanical oil vs cocoa butter?","The leak is from the oil seal located between the motor shaft and the gearbox. To confirm it's mechanical oil and not cocoa butter: collect a sample, let it cool, and taste test it. Black residue on the shaft is normal grease and not indicative of a problem. The oil seals need to be replaced. Packint shipped 2 replacement oil seals under warranty with a tutorial for replacement.",General - All Equipment,Mechanical,medium,"Packint Tech Support - Giacomo, Martina",2024-06-25,Repair,"melting tank, motor, oil leak, oil seal, gearbox, taste test, warranty, replacement seals"
"SOTU 600 line cycle stopped after 5 minutes - air pressure alarm","The SOTU 600 line stopped after running for only 5 minutes. It showed an air pressure/valve alarm.","Check the air pressure at the gauge near the main electrical cabinet - it must be at minimum 100 PSI / 7 bar. For manual transfer when the auto cycle is interrupted, open valves in this order: 5-14-13-9 (valve 11 always stays open). Start equipment in this sequence: stirrer mixer → pump mill2 → stirrer mill2 → pump mill1 → stirrer mill1 → pump mixer. This sequence ensures product flows from the end of the line backward to prevent overflow.",Ball Mill/Conche,Mechanical,high,"Packint Tech Support - Giacomo, Alvaro",2024-07-15,Troubleshooting,"SOTU 600, air pressure, valve alarm, 100 PSI, 7 bar, manual transfer, valves 5-14-13-9, valve 11"
"Auto mode adding sugar to finished chocolate - 2kg recipe trick","We need to run the SOTU 600 auto cycle on product already in the mixer without loading new ingredients. How?","Use the 2kg recipe workaround: set all ingredients to 2kg in the recipe. Since the weight already in the mixer exceeds 2kg for each ingredient, the system will skip the loading phase and go directly to the mix time. Then set your desired refining time and the auto cycle will process the existing product without trying to load additional ingredients.",Ball Mill/Conche,Software/PLC,medium,"Packint Tech Support - Giacomo, Alvaro",2024-07-20,Operation,"SOTU 600, auto mode, 2kg recipe, workaround, skip loading, existing product, refining time"
"Recipe parameter storage in PLC - modification request","Can we store recipe parameters including process settings (not just ingredient weights) in the PLC?","Normally the PLC only stores recipe ingredient weights, and the operator sets process parameters (temperatures, times, speeds) per batch. However, Packint agreed to modify the software and touch screen to include process parameters in saved recipes. This modification is being provided free of charge. The modification requires Packint's software engineer to update both the PLC program and touch screen interface. Schedule the remote update with 2-3 days advance notice.",Ball Mill/Conche,Software/PLC,medium,"Packint Tech Support - Giacomo",2024-09-19,Operation,"recipe parameters, PLC, process settings, software modification, free of charge, remote update"
"Ball mill safety relay failure after power outage","After a power outage the ball mill shows an emergency button alarm and nothing works. The OMRON G9SB-200-D safety relay appears to have failed.","To diagnose: bridge terminals T11-T12 and T21-T22 on the safety relay to test if the relay is the problem (NOT T11-T21 and T12-T22 - that's incorrect). If the valves start working with the bridge in place, the relay is faulty. To further test: disconnect wire from terminal 13 (wire 01) and connect it to the wire on terminal 14 (wire 1) - connect these two wires together to exclude the safety relay. To eliminate the emergency alarm signal, connect wire from terminal 23 to terminal 24. The relay costs approximately €205 and ships from Italy (about 5 business days). The OMRON G9SB-200-D has no reset function - if contacts fail, the entire relay must be replaced. Also check for loose wires, particularly under the Yaskawa drive at L2.",Ball Mill,Electrical,critical,"Packint Tech Support - Giacomo, Alvaro, Martina",2024-08-27,Repair,"safety relay, OMRON G9SB-200-D, emergency button, T11-T12, T21-T22, bridge terminals, €205, power outage, Yaskawa, loose wire"
"Safety relay replacement procedure - wiring walkthrough","We have the replacement OMRON safety relay. How do we wire it correctly? The number labels on the wires look like 7s but are actually 1s.","Follow the relay connection diagram provided by Giacomo. Key notes: numbers that look like '7' are actually '1', and numbers that look like '3179' are actually '3/19'. The relay connects to the e-stop and auxiliary power (blue button). Wire connections are at positions 3/16-3/17 (blue button) and 3/18-3/19, 3/20-3/21. Remove all black jumpers - only use the red wires. Switched 1 goes to terminal 23 on top, second wire to terminal 14 on bottom. After installation, if it still shows the fault: check voltage between wires 01 and 2 - should read 24VAC (not DC). Input voltage at the panel should be 208V across phases. A loose wire under breaker Q3 was the root cause in one case - wire 2 was loose under Q3. After tightening and resetting Q3, the alarm cleared.",Ball Mill,Electrical,high,"Packint Tech Support - Giacomo, Chris Baker",2024-09-04,Repair,"safety relay, OMRON, wiring, 24VAC, Q3 breaker, loose wire, blue button, e-stop, relay diagram"
"Melting tank capacity - no visual fill indicator","Is there a visual indicator for the 1000kg capacity on the melting tanks?","No, there is no visual fill indicator on the melting tanks. Each side holds 1000kg maximum, with max fill being nearly to the melting grate. If you've lost track of the quantity, the best option is to melt more butter. Even if you have the exact amount needed, you need at least 75-100kg extra to ensure there's enough product to fill the vertical pipe going up from the tank to the mixer. Don't let the tank get near empty while transferring - less product means less flow to the pump and longer transfer times.",General - All Equipment,Operation,low,"Packint Tech Support - Alvaro",2024-09-18,Operation,"melting tank, 1000kg, capacity, no indicator, melting grate, 75-100kg extra, vertical pipe"
"Manual butter addition when running low on supply","Our cocoa butter supplier is delayed and we only have 95kg in the melter. Can we manually add butter and run a 550kg batch?","Yes, you can set the butter weight to zero in the recipe and add the butter manually to the mixer. The auto cycle will skip the butter loading phase since it's set to zero. You may need to manually transfer the butter from the melter to the mixer if using the pump, or add it directly. Note that without using the conche (volume too small for effective conching), this is a temporary solution for production continuity.",Ball Mill/Conche,Operation,medium,"Packint Tech Support - Alvaro",2024-09-19,Operation,"manual butter, zero recipe, low supply, skip loading, 550kg batch, temporary solution"
"Decrystallizer internal structure and clog investigation","We believe there's a clog inside the decrystallizer. Can you provide an internal diagram and explain the structure?","The decrystallizer has an inner cylinder with 3/4-inch tubes running straight through it. To access the tubes, remove the two cones at each end. The tubes run in a straight line through the cylinder. The internal structure is identical between different line models - only the lengths may vary. To drain the decrystallizer for disconnection: open the purple drain valve under the heater tank. Note that some water will remain in the circuit even after draining - you'll need to open a tube connected to the cylinder to remove all remaining water.",General - All Equipment,Mechanical,medium,"Packint Tech Support - Giacomo",2024-09-28,Troubleshooting,"decrystallizer, internal structure, 3/4 inch tubes, cones, drain valve, clog, purple valve"
"Conche 2 ball valve stuck - won't open with actuator","The 3-way ball valve on Conche 2 (CO5000) won't open. The actuator moves but the ball valve itself is stuck. Even manually with a wrench it requires extreme force.","The ball valve requires tremendous leverage to open manually. It opens counter-clockwise 90°. The notches/lines on the valve show the direction of the openings in the ball. To troubleshoot: (1) Remove the 4 bolts to remove the pneumatic actuator. (2) Try manually turning the valve stem with a wrench - if it won't turn, the valve is stuck internally. (3) The valve can be disassembled by unscrewing the nut to access the sphere for cleaning with hot water and high pressure. However, the sphere cannot be fully removed as it was inserted with a special machine. If cleaning doesn't resolve the resistance, the entire valve needs to be replaced. Packint can ship a replacement. For immediate transfer: manually leave the valve open and use the pump to transfer chocolate, monitoring the level sensor to stop the pump manually when the tank is full.",Conche,Mechanical,critical,"Packint Tech Support - Giacomo, Alvaro",2024-09-29,Repair,"ball valve, stuck, CO5000, Conche 2, actuator, counter-clockwise, 90 degrees, replacement, 4 bolts, sphere, hot water"
"Tank level sensor testing during manual valve operation","If we manually leave the conche ball valve open, will the level sensor still stop the pump?","The level sensor should still stop the pump even with the valve manually held open. However, this is not guaranteed since the valve will still register as closed in the system. Before relying on this: test the level sensor by touching the probes with your hand or a metal object while the pump is running. If touching the probes causes the pump to stop, you can safely leave the pump running and the conche will keep the tank full automatically.",Conche,Software/PLC,medium,"Packint Tech Support - Alvaro",2024-09-29,Operation,"level sensor, test, probes, manual valve, pump stop, touch test, metal object"
"Pump seal tightening procedure for chocolate pumps","How do we maintain and tighten the chocolate pump seals?","Packint provides a detailed PDF procedure for tightening pump seals. The seals use teflon gaskets that need uniform tightening. Key points: (1) Tighten evenly around the circumference to ensure uniform compression. (2) This is ongoing maintenance - the teflon wears over time and needs periodic retightening. (3) The seal life depends on tightening accuracy and can last several years with proper maintenance. (4) When the teflon gasket can no longer be tightened further, it needs to be replaced entirely. (5) If a pump leaks, check the seal tightening first before assuming a bigger problem.",General - All Equipment,Mechanical,low,"Packint Tech Support - Alvaro",2024-10-01,Operation,"pump seals, tightening, teflon gasket, uniform, maintenance, PDF procedure"
"Conche water circuit isolation and refill for valve removal","How do we isolate the water system to remove a ball valve from the conche, and how do we refill afterward?","Step 1: Turn off the conche water pump. Step 2: Disconnect the 1/2-inch water pipes from the valve. Step 3: Remove the actuator (4 × 8Ma bolts). Step 4: Unscrew the valve flange bolts. The water circuit is open (not pressurized), so there's no air to bleed when refilling. After reinstalling the valve and reconnecting all 1/2-inch water pipes: turn on the water pump and heater. If water was lost from the circuit, use the EV button on the touch screen to refill. This must be done only after all pipes are reconnected and the water pump is turned back on.",Conche,Mechanical,medium,"Packint Tech Support - Giacomo",2024-10-08,Repair,"water circuit, isolation, valve removal, 1/2 inch pipes, 8Ma bolts, refill, EV button, water pump"
"SOTU 600 auto cycle stops unexpectedly mid-run","The SOTU 600 stopped at 30 minutes into a 170-minute refining cycle with no error messages showing. It resumed when we pressed start.","If the cycle stops and resumes from the same time (no reset) when start is pressed, this behaves like a pause - equivalent to the start-pause button being pressed. If no one was near the machine, check for: (1) accidental button press, (2) vibration activating the touch screen, (3) a brief power fluctuation. Monitor the remaining cycle time and check pump speeds and mill product levels. If it happens again, clean the touch screen as dirt can cause phantom touches.",Ball Mill/Conche,Software/PLC,low,"Packint Tech Support - Alvaro",2024-10-11,Troubleshooting,"SOTU 600, auto cycle, stops, no error, pause, resume, phantom touch"
"Conche pump protection - amperage not pressure based","Does the conche pump have a pressure relief valve? What triggers the fault?","The pump does not read pressure - it uses a frequency converter (VFD) that monitors motor amperage. When the motor draws too many amps, the VFD triggers a fault and stops the pump. There is no PRV (pressure relief valve) in the system. The set amp limit triggers a shutdown to protect the motor. If you get a pump fault, it's an overcurrent condition typically caused by thick product or a blockage.",Conche,Electrical,low,"Packint Tech Support - Giacomo, Alvaro",2024-10-15,Specification,"conche pump, amperage, VFD, frequency converter, no PRV, overcurrent, motor protection"
"Magnetic filter leaking chocolate","What would cause the magnetic trap/filter to leak chocolate even though the filter basket is not blocked?","Check that: (1) the basket is in the correct position inside the filter housing, (2) the lid gasket is not damaged, and (3) the lid is closed properly. If the pipe is not blocked and the lid is sealed correctly, no chocolate should escape from the filter. A misaligned basket or damaged gasket are the most common causes of leaking.",General - All Equipment,Mechanical,medium,"Packint Tech Support - Giacomo",2024-10-16,Troubleshooting,"magnetic filter, leak, basket position, lid gasket, sealed"
"Ball valve cleaning procedure - remove flange and clean sphere","How do we clean a stuck ball valve that won't turn even after removing the actuator?","With the valve removed from the line: (1) Unscrew the nut on the valve body to remove the flange. (2) This exposes the outside of the sphere for cleaning. (3) Clean with hot water and high air pressure. (4) The sphere cannot be fully removed - it was inserted with a special machine at the factory. (5) Block the valve body with a clamp for leverage when trying to rotate the stem. If cleaning doesn't resolve the sticking, the valve must be replaced. Packint can check stock and ship a replacement 3-way valve.",Conche,Mechanical,high,"Packint Tech Support - Giacomo",2024-10-18,Repair,"ball valve, cleaning, flange removal, sphere, hot water, air pressure, clamp, replacement"
"SOTU 600 max level alarms - pump speed adjustments","We keep getting max level alarms on both mills during auto cycle. The pumps seem to push more chocolate than the downstream equipment can process.","When starting auto cycle, set Mixer and Mill1 pump speeds to 45Hz, leave Mill2 at 60Hz. The pumps auto-adjust speed based on level sensors in auto mode. Key parameters in ADV PAR: 'sec alarm MAX Level' (30 sec delay before alarm), 'Sec stop Pump after Max level' (2 sec delay to restart pump after max level). Always start auto cycle with MILLS empty - never transfer chocolate manually between mills during auto cycle. If you get max level alarm: switch to manual, lower chocolate in both mills below sensors, clean the sensor forks, then restart auto. Every new auto cycle should start with pump speeds set to 60Hz (or per recommendation based on recipe viscosity).",Ball Mill/Conche,Software/PLC,high,"Packint Tech Support - Giacomo, Alvaro",2024-10-28,Troubleshooting,"SOTU 600, max level alarm, pump speed, 45Hz, 60Hz, ADV PAR, level sensors, auto cycle, clean forks"
"Inverter pump fault - reset procedure","We're getting 'fault inverter pump' errors. What does this mean and how do we fix it?","The inverter (VFD) fault means the pump motor is drawing too many amps, likely due to thick/sticky product or a mechanical blockage. To reset: turn off the entire electrical panel for at least 2 minutes, then turn it back on. This resets the inverter alarm. The max amp limit for the pumps is approximately 9A. If the fault persists after reset, the product may be too viscous - try adding cocoa butter to reduce viscosity or lower the pump speed. Also check for tripped breakers in the electrical panel.",Ball Mill/Conche,Electrical,high,"Packint Tech Support - Giacomo, Alvaro",2024-10-30,Troubleshooting,"inverter fault, VFD, pump, reset, 2 minutes, electrical panel, 9A max, viscosity, breaker"
"Mill temperature discrepancy between identical settings","Both mills have the same temperature settings but one shows dramatically different temps. Mill2 water temp dropped to 21°C while Mill1 stays at 42°C.","Check the heat exchanger valve operation on the cooler mill. The exchanger may be continuously cooling due to a stuck valve. To verify: (1) Press the EXC button on the touch screen for each mill and check if the exchanger valve physically rotates, OR (2) set a lower product temperature than current reading and see if the valve activates. Also check water inlet and outlet temperatures at the exchanger. If the valve works (you can hear/see it rotate), the issue may be with the chiller circuit - check water flow rate and glycol temperature at the exchanger inlet.",Ball Mill,Mechanical,medium,"Packint Tech Support - Giacomo",2024-10-24,Troubleshooting,"mill temperature, discrepancy, exchanger valve, EXC button, water flow, chiller circuit, glycol"
"SOTU 600 remote monitored production - diagnosis and fix","After a remote monitoring session, Packint found and fixed the issue causing pump shutdowns and level sensor alarms. What was the problem?","The issue was water temperature protection parameters. During the original installation, the cooling water temperatures were different than the current operational temperatures, so the protection mode thresholds were set incorrectly. When the chiller water got cold enough during production, it triggered the temperature protection which stopped the pumps. Packint remotely modified the temperature protection parameters so they no longer interfere with pump operation during the auto cycle. It is critical to maintain constant chiller water conditions going forward - if you change the chiller settings, Packint may need to readjust the temperature protection parameters again.",Ball Mill/Conche,Software/PLC,high,"Packint Tech Support - Giacomo",2024-11-18,Repair,"SOTU 600, remote monitoring, temperature protection, chiller water, pump shutdown, parameter modification"
"SOTU 600 sugar loading before fats - recipe and tare issue","The SOTU 600 is loading sugar before cocoa butter and mass, which is the wrong order. The sugar feeder activates first instead of the liquids.","This happens when the recipe or tare weight is incorrect. Check: (1) The tare of the mixer must be set correctly (should be approximately 4kg for empty mixer). (2) Verify the recipe weights match your production sheet. (3) If the mixer already has weight in it that the system doesn't account for, it thinks the liquid ingredients are already loaded and skips to sugar. Re-tare the mixer when empty, reload the recipe, and start the auto cycle fresh.",Ball Mill/Conche,Software/PLC,medium,"Packint Tech Support - Giacomo",2024-11-25,Troubleshooting,"SOTU 600, sugar loading order, tare, recipe, weight, mixer, auto cycle"
"Leaving chocolate in mills overnight causes separation and high amps","After leaving chocolate in the mills overnight, the stirrer draws high amps and triggers inverter protection. Why?","Leaving chocolate unstirred in the mills overnight causes separation - the cocoa butter rises to the top while solids settle to the bottom. This creates a thick sticky mass at the bottom. When you start the stirrer, it hits this heavy mass and draws excessive amps, triggering the inverter protection. This is NOT a machine malfunction - it's a protection against the abnormal load. To recover: lower the stirrer speed until it can move the mass without alarming (try 35Hz, then 30Hz if needed). Once the product is remixed and flowing, gradually increase speed. Strong recommendation: never leave chocolate unstirred in the mills overnight. If production must stop, transfer product to the conche or mixer where it can be stirred.",Ball Mill,Operation,high,"Packint Tech Support - Giacomo, Alvaro",2024-11-20,Operation,"overnight, chocolate separation, high amps, inverter protection, stirrer, cocoa butter rises, solids settle, lower speed"
"SOTU 600 pump buttons delayed response on touch screen","During auto cycle, pump buttons on the touch screen have a delayed response - they activate minutes after being pressed instead of immediately.","Clean the touch screen thoroughly - dirt and chocolate residue can cause phantom touches and delayed inputs. The touch screen does not work like a computer with input queuing. If buttons appear unresponsive, don't press them multiple times as each press registers and will execute later. Also check: (1) water and product temperatures must not be too low (pumps won't operate in manual if temps are below minimum), (2) level sensor forks must be clean, (3) verify the cycle selector is in the correct mode (MAN vs AUT).",Ball Mill/Conche,Software/PLC,medium,"Packint Tech Support - Giacomo",2024-11-06,Troubleshooting,"touch screen, delayed response, pump buttons, clean screen, phantom touch, MAN, AUT selector"
"TK500 safety hinge switch cable replacement - finding the splice","How do we replace the safety hinge switch cable on the TK500 tank? The cable changes from black to grey partway.","The cable is spliced along the path from the switch to the terminal block because the switch cable isn't long enough to reach directly. Follow this procedure: (1) Disconnect the old cable at the terminal block inside the electrical panel. (2) Follow the grey sheath from the panel toward the tank. (3) The splice is inside the grey sheath between the tank crosspiece and the electrical panel. (4) You must remove the old cable to route the new one. (5) Leave the grey cable section connected to the terminal block and reconnect the new switch cable to the splice point. An electrician may be helpful as accessing the cable route can be complex.",General - All Equipment,Electrical,medium,"Packint Tech Support - Giacomo",2024-11-08,Repair,"safety hinge switch, cable, splice, TK500, grey sheath, terminal block, electrician"
"CO1000 conche used as temporary holding tank","Can we use the CO1000 conche as a temporary heated holding tank?","Yes, you can use the CO1000 conche as a storage/holding tank to maintain chocolate at a set temperature. The TK500 tank has an internal overflow with a drain under the tank. The 1000kg tank has an overflow on the upper side. Both have open water circuits (no pressurization). Simply set the desired temperature and let the stirrer run to keep the chocolate fluid and at temperature.",Conche,Operation,low,"Packint Tech Support - Giacomo",2024-10-29,Operation,"CO1000, holding tank, temporary storage, temperature, set temp, overflow"
