Title,Question,Answer,Equipment,Topic,Severity,Source,Date Reported,Repair Type,Tags
"Mill 1 stirrer high amps at 40Hz causing alarms","Mill 1 stirrer is hitting 96 amps at 30Hz and getting max amp alarms. We can't seem to run the stirrer without alarms.","Lower the stirrer speed to a level where it won't alarm - try 35Hz, if still alarming try 30Hz or lower. Let it stir at the lower speed for a while to remix the chocolate, then gradually increase. If the product has been sitting, it may have separated (butter rises, solids settle) creating a thick mass at the bottom. Once flowing again, pump to Mill 2 to transfer out. If amp alarms persist even at low speeds, the chocolate is too viscous and may need additional cocoa butter added to reduce viscosity.",Ball Mill,Mechanical,high,"Packint Tech Support - Alvaro",2025-02-25,Troubleshooting,"stirrer, high amps, 96 amps, 30Hz, lower speed, 35Hz, viscosity, separation, cocoa butter"
"Re-refining chocolate already in mixer - zero ingredient trick","The chocolate is back in the mixer and needs 20 more minutes of refining. How do we restart the auto cycle without loading new ingredients?","Set all ingredient weights to zero in the recipe, set the mixer time to 1 minute, and set the refining time to the amount needed (e.g., 20 minutes). Set download time as needed (or 0 if you'll transfer manually). Start the auto cycle - since all ingredient weights are zero and the mixer already has product exceeding those weights, the system skips the loading phase and proceeds to refining. Set pump speeds to 50Hz for mixer pump and stirrers to 50Hz. Ingredients must show zero on the recipe screen.",Ball Mill/Conche,Operation,medium,"Packint Tech Support - Alvaro",2025-02-25,Operation,"re-refine, zero ingredients, mixer time 1 minute, refining time, auto cycle, skip loading, pump speed 50Hz"
"Mill 1 exchanger actuator not working - causing overheating","Mill 1 keeps overheating during production. We discovered the exchanger actuator (cooling valve) on Mill 1 is not bringing in cold water from the chiller. Mill 2 with the same settings works fine.","The root cause is a non-functioning exchanger actuator on Mill 1. When the actuator fails to open the cooling valve, cold chiller water cannot flow through the heat exchanger, so Mill 1 overheats while Mill 2 (with a working actuator) cools normally. To verify: (1) Compare water temps - Mill 1 water at 42°C vs Mill 2 at 21°C confirms Mill 2 is cooling and Mill 1 is not. (2) The physical surface of Mill 1 will feel hot while Mill 2 feels cold. Contact Packint for replacement actuators. Note: Giacomo initially stated the valves were working because pressing the button when already open doesn't cause visible movement - verify by observing the valve while toggling.",Ball Mill,Mechanical,critical,"Packint Tech Support - Giacomo, Hunter Peterson",2025-02-27,Repair,"Mill 1, exchanger actuator, overheating, cooling valve, cold water, replacement actuator, heat exchanger"
"Thermostat behind mills must be set to 60°C","What should the thermostat behind the ball mills be set to? Ours were set differently (one at 50, one at 60).","Both thermostats behind the mills MUST be set to 60°C. This is a mechanical thermostat that serves as a safety device - it generates an alarm when the water temperature reaches 60°C to prevent burning out the heaters. It does NOT control the operating temperature. The operating temperature is controlled by the touch screen settings. Setting this thermostat lower than 60 will cause premature alarms during normal operation.",Ball Mill,Mechanical,medium,"Packint Tech Support - Giacomo",2025-02-28,Operation,"thermostat, behind mills, 60°C, mechanical, safety, heater protection, alarm"
"Chiller water flow rate and pressure diagnostics","We're having persistent cooling issues. Giacomo says the chiller circuit is the most common cause. What should we check?","In 99% of cooling failure cases, the chiller circuit is the problem. Check these critical parameters: (1) Water temperature AT THE INLET of the heat exchangers (not just at the chiller outlet). (2) Water temperature at the EXIT of the exchangers. (3) Flow rate of water from the chiller - insufficient flow means water passes too slowly through the exchanger and can't cool even if it's cold. (4) Pressure at the chiller outlet. (5) Return pressure to the chiller. (6) Water purity - limescale buildup in the chiller circuit or exchanger plates can block water flow. Low flow + cold water = poor cooling because the water doesn't move fast enough through the exchanger plates to transfer heat effectively.",Ball Mill,Mechanical,high,"Packint Tech Support - Giacomo",2025-02-28,Troubleshooting,"chiller, water flow rate, pressure, exchanger inlet, outlet, limescale, flow rate, cooling failure"
"Mill heater buttons accidentally turned off - confusing UI","The mills are getting cold and the chocolate is cooling down. The PLC shows the heaters should be on but the temperatures keep dropping.","Someone accidentally pressed the heater buttons on the touch screen, turning them off. The heater button UI is confusing - it's not immediately obvious whether the button is on or off (red/green flashing). These buttons should only be pressed ONCE when first turning on the machine and then never touched again. If temperatures are dropping: (1) Check if the heater button shows consistent color (not intermittent). (2) If unsure, press the button ONCE and monitor - if temperature starts rising in 20 minutes, it was off. (3) Do NOT leave mills with heaters off overnight or the chocolate will solidify. Packint will update the program to make the on/off state more visible.",Ball Mill,Software/PLC,high,"Packint Tech Support - Giacomo",2025-03-01,Troubleshooting,"heater buttons, turned off, confusing UI, red green, temperature dropping, program update coming"
"Mesh screen filter size is 250 micron not 25","The mesh screen filter label shows '25' - does this mean 25 micron?","No, the mesh screen size is 250 micron, not 25 micron. At higher operating speeds (50-60Hz), the effective filtering gets finer. Packint offers two mesh sizes: 150 micron for very fluid products and 250 micron for viscous products. Choose based on your chocolate viscosity.",General - All Equipment,Mechanical,low,"Packint Tech Support - Giacomo",2025-01-27,Specification,"mesh screen, filter, 250 micron, not 25, 150 micron for fluid, viscous products"
"Conche filter basket vs entire filter pricing","The quote for the conche filter was €5600. Is that just for the basket?","No, €5600 is the price for the entire filter assembly, not just the basket. If you only need the replacement basket (the internal screen/mesh component), the price will be significantly less. Clarify with Packint (aftersales@packint.com) that you need just the basket, not the complete filter unit.",Conche,Mechanical,low,"Packint Tech Support - Giacomo",2025-01-28,Specification,"conche filter, basket, €5600, entire filter, replacement basket, pricing"
"Mill-50 water pump replacement received with damaged packaging","We received the new water pump for the Mill-50 but the shipping box was damaged. Should we be concerned?","Inspect the pump thoroughly before installation. Even with box damage, the pump may be fine. Test it by: (1) checking the motor free-spools, (2) inspecting for visible damage to connections and housing, (3) installing and testing operation. When installing: ensure the VFD jumper for motor poles is set correctly (this was the issue on a previous installation where the jumper was reversed, causing VFD tripping).",Ball Mill,Mechanical,low,"Packint Tech Support - Giacomo",2025-02-05,Installation,"Mill-50, water pump, shipping damage, inspect, VFD jumper, motor poles"
"SOTU 600 auto mode - minimum lecithin percentage","What is the minimum lecithin percentage for SOTU 600 recipes?","Packint recommends a minimum of 0.5% lecithin for SOTU 600 recipes. While 0.4% may work for some recipes, using less than the recommended amount increases the risk of viscosity-related issues including pump overcurrent faults, overheating in the mills, and max level sensor alarms. Higher viscosity means the pumps work harder and the chocolate retains more heat from the milling process.",Ball Mill/Conche,Operation,medium,"Packint Tech Support - Giacomo",2025-02-28,Operation,"SOTU 600, lecithin, minimum 0.5%, viscosity, pump overcurrent, overheating"
