Title,Question,Answer,Equipment,Topic,Severity,Source,Date Reported,Repair Type,Tags
"Pre-refiner roller shaft snapped - second time","The rear roller shaft on the pre-refiner snapped again at the motor connection point. This is the second time. Why does this keep happening?","The R4 pre-refiner frame is bent at the motor mount, causing misalignment stress on the shaft which leads to fatigue failure. A replacement roller needs to be shipped from Italy. For removal: spray penetrating oil on the bolts holding the rear roller and let it soak. The shaft breaks at the weakest point where it connects to the gearbox. The frame misalignment must be addressed to prevent recurring failures.",Pre-refiner,Mechanical,critical,"Packint Tech Support - Giacomo",2023-05-15,Repair,"roller shaft, snapped, R4 frame, bent, motor mount, misalignment, fatigue"
"Pre-refiner belt extremely tight during reassembly","We're trying to reassemble the pre-refiner belt but it's extremely tight and won't go on. We also noticed the R4 frame was swapped with R2. The front shaft is stuck.","Use WD-40 or penetrating oil on the front shaft if it's stuck. The belt alignment pin must align with the gearbox position. Make sure you are working with the correct frame - R4 and R2 frames are different sizes. To install the belt: loosen the motor mount nut to release tension, slide the belt on, then retighten. The belt should have some give when properly tensioned.",Pre-refiner,Mechanical,high,"Packint Tech Support - Giacomo",2023-05-22,Repair,"belt, tight, R4 frame, R2 frame, WD-40, shaft stuck, alignment pin, tension"
"Ball mill pump not working - AIR IN clears blockage","The ball mill pump is not circulating product. How do we clear a blockage?","Use the AIR IN button to blow compressed air through the system and clear the ingredient blockage. Press pump reverse first, then press AIR IN in intermittent bursts (1 second on, 5 seconds off) for about 30 seconds while the stirrer is running. This forces air through the bottom of the tank and clears material blocking the pump inlet.",Ball Mill,Mechanical,medium,"Packint Tech Support - Giacomo",2023-06-07,Troubleshooting,"pump, blockage, AIR IN, reverse pump, recirculation, compressed air"
"Ball mill auto-start mystery - impossible without operator","Our ball mill appeared to start on its own. Is this possible?","No, the ball mill cannot auto-start. It is not possible for the machine to begin operation without an operator pressing the start button. There is no timer or automated function that would cause the machine to start by itself. Check if someone else may have started it, or if there was a misunderstanding about the machine's state.",Ball Mill,Software/PLC,low,"Packint Tech Support - Franklin",2023-06-14,Troubleshooting,"auto-start, safety, operator required, impossible"
"Roaster knocking noise - internal arm unwelded","The T100 roaster has developed a knocking noise that occurs at the same point in each rotation. It's been getting worse over months.","The noise is caused by internal mixing arms inside the drum that have come unwelded. Initially it may be a subtle click, but it escalates as the arm loosens further. Eventually the arm can break completely and fall into the beans. The drum needs to be removed to access and reweld the arms. Ensure welds are made with stainless steel welding rods for added material strength - welds without added material will crack again under the rotational forces of 100kg+ loads.",Roaster,Mechanical,critical,"Packint Tech Support - Giacomo",2023-07-03,Repair,"knocking noise, drum arm, unwelded, broken, rotation, reweld, stainless steel rods"
"Roaster T100 front plate removal procedure","How do we remove the front plate on the T100 roaster to access the internal drum for repairs?","Giacomo provided a 6-page PDF guide: REMOVING THE T100 FRONT PLATE. Steps: Remove the front discharge hopper first. Then remove 3 bolts from the internal support and 3 bolts from the rear support. The drum slides off the shaft using penetrating oil to ease removal. The shaft stays in the roaster. Apply penetrating oil liberally and allow soak time for easier removal of seized components.",Roaster,Mechanical,high,"Packint Tech Support - Giacomo",2023-07-10,Repair,"front plate, removal, T100, drum, shaft, bolts, penetrating oil, PDF guide"
"Roaster drum collar misalignment from broken arms","After running the roaster with broken internal arms, the drum collar appears misaligned. Is this related?","Yes, running the roaster with broken or loose arms caused the inner collar to rotate relative to the outer drum shell. The unbalanced forces from the broken arms gradually shifted the collar position. The collar needs to be realigned and the arms properly rewelded before operating the roaster again. Check the flange bearing as well for damage.",Roaster,Mechanical,high,"Packint Tech Support - Giacomo",2023-07-15,Repair,"drum collar, misalignment, broken arms, rotation, realignment"
"Roaster flange bearing replacement specification","What is the correct flange bearing replacement for our T100 roaster?","The flange bearing is model UCF210-32 with a 2-inch bore. Before ordering, verify the model number and dimensions match by checking the plate on your existing bearing. This is a standard flange bearing available from industrial suppliers.",Roaster,Mechanical,medium,"Packint Tech Support - Giacomo",2023-07-18,Repair,"flange bearing, UCF210-32, 2 inch bore, replacement"
"Cooling carousel stops after 1 second","The cooling carousel starts but stops after just 1 second of operation. What's wrong?","The microswitch/sensor is likely dusty or obstructed. Clean the sensor thoroughly. Dust buildup on the sensor prevents proper detection and causes the machine to emergency stop immediately after starting. After cleaning, the carousel should operate normally.",General - All Equipment,Mechanical,medium,"Packint Tech Support - Giacomo",2023-07-25,Troubleshooting,"cooling carousel, microswitch, sensor, dust, stops, 1 second"
"Milk chocolate minimum temperature for kosher compliance","Can we run the conche below 40°C product temperature for kosher milk chocolate production?","No, the machine has a protection that prevents operation below 40°C product temperature. This is a safety feature to prevent chocolate from solidifying and damaging the equipment. Lorenzo confirmed that thousands of kosher chocolates have been made at temperatures above 40°C without any issue. The minimum temperature cannot be lowered.",Conche,Mechanical,medium,"Packint Tech Support - Lorenzo Datei",2023-08-02,Operation,"kosher, milk chocolate, minimum temperature, 40°C, product temp, machine protection"
"Pre-refiner won't turn on - motor overheating","The pre-refiner won't turn on at all. Nothing happens when we press the start button.","The motor is likely overheating due to the rolls being set too tight. When rolls are too tight, the motor draws excessive current and overheats, triggering the thermal protection. Let the motor cool down completely (may take 30+ minutes), then loosen the rolls before restarting. Adjust the roll gap to reduce the load on the motor.",Pre-refiner,Electrical,medium,"Packint Tech Support - Giacomo",2023-08-09,Troubleshooting,"won't turn on, motor overheating, tight rolls, thermal protection, cool down"
"Pre-refiner belt broke - custom replacement from Italy","The pre-refiner belt broke. Where can we get a replacement?","The pre-refiner belt is custom-made in Italy. Specifications: 2500mm × 425mm. Cost is approximately 400€ for 2 belts with a 1-week production time. These are not available off-the-shelf and must be ordered through Packint. Order in advance to have spares on hand.",Pre-refiner,Mechanical,high,"Packint Tech Support - Giacomo",2023-08-15,Repair,"belt, custom, Italy, 2500mm, 425mm, 400€, replacement"
"Pre-refiner V-belt specification","What is the correct V-belt specification for the pre-refiner motor?","The V-belt is an A62 standard V-belt: 62 inches circumference, 13mm width, standard V-shape profile. This is a standard industrial belt available at McMaster-Carr, part number 7821T48. No need to order from Italy.",Pre-refiner,Mechanical,low,"Packint Tech Support - Giacomo",2023-08-20,Specification,"V-belt, A62, 62 inch, 13mm, McMaster-Carr, 7821T48"
"Storage tank 500kg noise - pump running dry without water","The 500kg storage tank is making a loud noise. What could be causing this?","There is no water in the jacket. The water pump is running dry, which creates the noise. Additionally, the heater could burn out without water in the jacket. Fill water through the side valve immediately. Once water is added, the noise will stop. Always ensure the water jacket is filled before turning on the heater or water pump.",General - All Equipment,Mechanical,high,"Packint Tech Support - Giacomo",2023-08-28,Troubleshooting,"storage tank, noise, water jacket, pump running dry, heater, fill water"
"Ball mill 130 pump blockage with pre-refine","The ball mill 130 pump is blocked. We loaded 31kg of nibs (pre-refine) and it won't recirculate.","The pre-refine was not liquefied enough before loading. It needs more run time with the stirrer before the pump can move it. To clear: run the pump in reverse, press AIR IN in bursts, and keep the stirrer running at 50-60Hz. If that doesn't work, try opening the download valve to relieve back-pressure. The pump eventually cleared by using all three simultaneously (stirrer + reverse pump + AIR IN). In future, ensure the product is sufficiently liquefied before expecting recirculation.",Ball Mill,Mechanical,medium,"Packint Tech Support - Giacomo, Alvaro",2023-09-05,Troubleshooting,"pump blockage, pre-refine, nibs, recirculation, AIR IN, reverse pump, download valve"
"Ball mill 130 stirrer motor high-pitch noise","The stirrer motor on ball mill 130 is making a high-pitched noise. Could it be the gearbox?","Check the gearbox oil level. The dipstick is a bolt on the edge of the gearbox. Important: wait at least 20 minutes after stopping the stirrer before checking, as the oil needs time to settle back down to give an accurate reading. Low oil level in the gearbox causes the high-pitched noise. The oil should be checked and replaced every 6 months, especially on used equipment.",Ball Mill,Mechanical,medium,"Packint Tech Support - Giacomo",2023-09-12,Troubleshooting,"stirrer motor, high pitch, gearbox, oil level, dipstick, 20 minutes"
"Ball mill solidified chocolate emergency","Chocolate solidified inside the ball mill. The stirrer won't turn. Can we add cocoa butter to melt it?","DO NOT start the stirrer - it will damage the gearbox if forced against solidified chocolate. Adding cocoa butter won't help because it just sits on top of the solid mass. The only solution is to physically scoop the balls out by hand. This is a labor-intensive process but necessary to prevent damage to the stirrer motor and gearbox. Once enough balls are removed and the remaining chocolate can be heated to liquid state, normal operation can resume.",Ball Mill,Mechanical,critical,"Packint Tech Support - Lorenzo Datei",2023-09-18,Troubleshooting,"solidified chocolate, stirrer damage, scoop balls, gearbox protection, emergency"
"R4 pre-refiner belt replacement procedure","How do we replace the belt on the R4 pre-refiner?","Remove the side cover that has the adjustment dials. Then loosen the motor mount nut to release belt tension. The belt can then be slid off and the new one installed. After installing the new belt, retighten the motor mount nut to set proper tension. The belt should have slight give when properly tensioned - not too tight or it will strain the motor.",Pre-refiner,Mechanical,medium,"Packint Tech Support - Giacomo",2023-10-02,Repair,"belt replacement, R4, side cover, motor mount nut, tension"
"Spare parts quote - bearings and conveyor belts","We need a quote for spare parts including bearings, reducer, conveyor belts, and scraper brackets.","Quote updated and sent. Delivery time is 10-15 calendar days for bearings, reducer, conveyor belts, and scraper brackets. Orders can be placed through aftersales@packint.com.",General - All Equipment,Mechanical,low,"Packint Tech Support - Giacomo",2023-10-10,Specification,"spare parts, bearings, reducer, conveyor belts, scraper brackets, quote"
"Ball mill emergency button alarm - clearing procedure","The ball mill is showing an emergency button alarm. How do I clear it?","Press the blue rearm button to clear the emergency alarm. The alarm triggers when there is a power interruption or the emergency stop is pressed. The blue button resets the safety circuit and allows normal operation to resume.",Ball Mill,Electrical,low,"Packint Tech Support - Giacomo",2023-10-15,Operation,"emergency button, alarm, blue button, rearm, safety circuit"
"Conche CO1000 new valve leak at weld","The new valve on the CO1000 conche has a leak right at the weld point. We can see it in the video. What can we do short-term?","For immediate short-term fix, use duct tape to stop the leak until the replacement valve arrives. The leak is at the weld point which could have been damaged during transport or installation. Soldering at that point is not practical. A replacement valve will be shipped.",Conche,Mechanical,high,"Packint Tech Support - Giacomo",2023-11-06,Repair,"valve, leak, weld, duct tape, CO1000, replacement"
"Ball mill 130 PLC output O6 not activating valve","When pressing the valve button on the ball mill 130 touch screen, nothing happens. The valve doesn't open, no relay lights up, no voltage at terminals 5-6. The fuse appears OK.","The PLC output O6 is not activating. Riccardo connected remotely via a temporary network cable between the Mill PLC and the CO1000 Sevio router to diagnose. He found a bit controlled by a level sensor from the old system that was blocking the output. After removing this in the PLC program, the valve worked. Note: many modifications were made by the previous owner that Packint has no documentation for.",Ball Mill,Software/PLC,high,"Packint Tech Support - Giacomo, Riccardo Rebolini",2023-11-06,Repair,"PLC output, O6, valve, relay, KR7, Sevio router, remote diagnosis, previous owner modifications"
"Ball mill 130 stirrer stopped mid-run - torque device triggered","The stirrer on ball mill 130 stopped during a production run. The Mistral breaker 6Q1 tripped, FM and BP buttons don't work. Two previous runs were fine.","The issue was the torque device (clutch) between the motor and gearbox. This safety clutch prevents gearbox breakage during overload. A small switch on the torque device was triggered by vibration, preventing the motor from starting. Solution: open the top cover of the machine, locate the torque device, and adjust the position of the switch so it's not touching the rotating parts. Additionally, Riccardo found the VFD drive had parameter E1-04 set incorrectly (max speed limited to 50Hz). After adjusting E1-04, the stirrer ran at the correct speed range.",Ball Mill,Mechanical,critical,"Packint Tech Support - Giacomo, Lorenzo Datei, Riccardo Rebolini",2023-11-07,Repair,"stirrer stopped, torque device, clutch, switch, VFD drive, E1-04, 6Q1, Mistral"
"Conche emergency button error after power loss","We lost power briefly and the conche now shows an emergency button error. How do we clear it?","Press the blue command insertion button to clear the emergency alarm. Power interruptions trigger the emergency circuit, and the blue button rearms it.",Conche,Electrical,low,"Packint Tech Support - Giacomo",2023-11-11,Operation,"emergency button, power loss, blue button, rearm"
"Ball mill temperature spike and drop - Mistral interaction","Ball mill temperature spiked 10 degrees above set point (from 53 to 68°C), triggered alarm. Then after turning off Mistral, temperature dropped too low (30s) and wouldn't allow transfer. Why?","When the product temperature exceeds the set point plus the 10-degree delta, a high temperature alarm triggers - this is normal protection. The temperature spike may be caused by the Mistral being on at the wrong time. When temperature drops after a cycle ends, the jacket water is cold from the cooling phase. The temperature safety won't allow restart until water reaches 38°C. Solution: keep FM and BP engaged at all times during operation. FM bypasses the temperature safety specifically for this scenario.",Ball Mill,Mechanical,medium,"Packint Tech Support - Giacomo, Alvaro",2023-11-12,Operation,"temperature spike, alarm, delta, Mistral, FM bypass, BP, temperature safety, cooling"
"Ball mill temperature drop after cycle prevents restart","After each ball mill cycle, we have to wait 10-15 minutes for temperature to recover before the mill will restart. Water and product temps drop 7-10 degrees below set point.","This happens because at the end of a cycle, the product reached max temperature which caused cold water to circulate. When trying to restart, the temperature safety prevents operation until water warms back up. Solution: always keep both FM and BP buttons engaged during operation. FM specifically bypasses the water temperature safety check. As long as the chocolate is liquid, the stirrer and pump will be fine. If viscosity is too high and amps exceed the max set value, the breaker will trip as an additional safety.",Ball Mill,Mechanical,medium,"Packint Tech Support - Alvaro",2023-11-13,Operation,"temperature drop, restart delay, FM button, BP button, water temperature, bypass"
"Ball mill 130 pump blockage - allulose chocolate","Ball mill 130 won't recirculate after loading pre-refined nibs for allulose chocolate. Pump runs but no product moves. Air IN shows no surface bubbles initially.","Extensive troubleshooting: 1) Run pump reverse + AIR IN + stirrer simultaneously at 50-60Hz. 2) Check if air actually reaches the tank (listen for bubbles). 3) Open manual bottom valve to check flow. 4) The blockage was between hopper and pump. 5) Run stirrer at 60Hz, pump forward at 60Hz, with intermittent AIR IN bursts for 10 seconds, then reverse pump for 10 seconds with AIR IN. Eventually the blockage cleared and recirculation resumed. Allulose chocolate may be more prone to blockage. Clean the hopper holes and air valve regularly.",Ball Mill,Mechanical,high,"Packint Tech Support - Alvaro, Giacomo",2023-11-15,Troubleshooting,"pump blockage, allulose, recirculation, AIR IN, reverse pump, 60Hz, hopper"
"Conche CO1000 pipe blockage and chocolate solidification","Chocolate solidified in the conche CO1000 vertical pipes. The mag trap had dried hardened cocoa powder-like chocolate. Pipes were warm but product hardened inside.","Drain the water from the pipes by closing the valve before the water pump, then opening the drain near the mag trap. Once drained, disconnect and inspect the vertical pipes. Clean with hot water at least 50°C, or pour chocolate through to melt residue. The blockage likely occurred when making allulose chocolate which has different flow properties. Verify all pipes are at proper temperature and the water circuit is properly connected. The vertical pipe must be truly vertical - use adjustable feet on equipment to level.",Conche,Mechanical,high,"Packint Tech Support - Franklin, Giacomo",2023-11-17,Troubleshooting,"pipe blockage, solidified chocolate, mag trap, drain water, vertical pipe, allulose, hot water cleaning"
"Conche CO1000 piping shipped incorrect size - 2 inch height difference","The replacement T-pipe for the CO1000 has a 2-inch height difference from the existing pipe. The measurements don't match.","Giacomo acknowledged the sizing error and worked urgently to resolve it. Measurements were provided and a correct pipe was fabricated in Italy within 24 hours and shipped via DHL on Monday morning. For future pipe issues: measure the exact dimensions needed and email to aftersales@packint.com. The pipes use the same material and flanges as the originals, just finished with a different brush polish which looks different aesthetically but functions identically.",Conche,Mechanical,medium,"Packint Tech Support - Giacomo",2023-11-17,Repair,"piping, incorrect size, T-pipe, CO1000, 2 inch difference, measurements, replacement"
"Mobile pump pipe connections","How do the pipes connect to the mobile pump? We have the parts but aren't sure how they go together.","One pipe with the vertical brace connects to one side of the pump. On the opposing side, fitting C connects. Giacomo provided photos showing the assembly: pipe A to one side, fitting C to the other side, with the vertical brace oriented correctly for flow direction.",General - All Equipment,Mechanical,low,"Packint Tech Support - Giacomo",2023-11-19,Installation,"mobile pump, pipe connections, fitting C, assembly"
"Conche CO1000 pump seal leak - bolts uneven from delivery","The CO1000 conche pump has been leaking chocolate since delivery. Caliper measurements show the seal bolts are significantly uneven - one side cranked down much more than the others.","All four bolts must be adjusted so each side has equal spacing. Note: it's possible that the upper and lower shaft measurements differ from each other, but each side of the same shaft must match. Tighten incrementally and evenly. If leaking persists, document with caliper measurements, photos, and video of the tightening process. Giacomo agreed to bring replacement seals on the next Italy team visit.",Conche,Mechanical,high,"Packint Tech Support - Franklin, Alvaro, Giacomo",2023-11-24,Repair,"pump seal, leak, bolts, uneven, caliper, CO1000, delivery issue, seal replacement"
"Conche CO1000 pump clicking sounds","The new CO1000 conche pump is making loud clicking sounds during operation.","The clicking noise could be caused by the pump sucking air due to the seal adjustment issue, or it could indicate a problem with the pump head/lobes. Remove the front cover and check the lobes for damage or wear. If the noise persists after seal adjustment, the pump head may need replacement. Wait a few hours after seal adjustment and recheck - sometimes the noise resolves as air is purged from the system.",Conche,Mechanical,medium,"Packint Tech Support - Franklin, Giacomo",2023-11-24,Troubleshooting,"pump, clicking, noise, air, lobes, seal, CO1000"
"Ball mill 2 Mistral breaker trips immediately","The Mistral on Ball Mill 2 keeps tripping the internal breaker 6Q1 immediately upon startup. All wires appear secure.","Disconnect the Mistral cables from the terminal block, then turn the mill on. If no error appears (which was confirmed), the connections are verified and the Mistral unit itself is faulty and needs replacement. The Mistral model is HG 5000 type 3051. A replacement quote was sent. This diagnostic test eliminates wiring issues and confirms the heating unit is the problem.",Ball Mill,Electrical,high,"Packint Tech Support - Alvaro",2023-11-24,Troubleshooting,"Mistral, breaker, 6Q1, trips immediately, HG 5000, type 3051, replacement"
"Storage tank blower motor blocked by chocolate residue","Storage tank has red thermal overload light. Breaker keeps tripping after a few seconds when mixer is turned on. What's the problem?","The blower motor fan is blocked by chocolate residue. Turn off power, remove the 4 screws at the bottom of the turbine unit to remove the motor/fan assembly. Clean all chocolate residue from the turbine blades - even small amounts cause imbalance and noise. After cleaning, reinstall and test. The tank will work without the blower temporarily. Plan regular maintenance to prevent chocolate buildup. An electrician is recommended for checking wiring if cleaning doesn't resolve it.",General - All Equipment,Mechanical,medium,"Packint Tech Support - Franklin",2023-11-28,Repair,"storage tank, blower, motor blocked, chocolate residue, turbine, thermal overload, cleaning"
"Conche CO1000 motor squealing noise - gearbox oil","The CO1000 conche motor is making a strange squealing noise. Could this be from the gearbox running without oil?","Check that the motor fan is not colliding with the protective cover. Also check the gearbox oil level. The gearbox was delivered without oil filled (an oversight during installation). Gearbox oil must be checked and replaced every 6 months. If the reducer continues to make noise after oil is added, it may need to be replaced. Giacomo acknowledged the oil filling oversight.",Conche,Mechanical,high,"Packint Tech Support - Franklin, Giacomo",2023-11-28,Troubleshooting,"motor, squealing, gearbox oil, fan, protective cover, reducer, oil check"
"Pre-refiner loader belt cleaning - date sugar residue","The pre-refiner loader belt has date sugar caked on it. Can we wash it down?","Use a soft-bristle brush to remove all residue stuck in the belt folds. Do not use water directly. The vertical rear part of the loader has covers secured with bolts that can be removed for easier access to clean the belt thoroughly. Regular brushing after each use prevents buildup.",Pre-refiner,Mechanical,low,"Packint Tech Support - Giacomo",2023-11-29,Cleaning,"loader belt, date sugar, cleaning, soft brush, belt folds"
"Conche mag trap chocolate solidifying despite being heated","Chocolate is solidifying in the conche mag trap over several days even though it's getting heat. Happening with both 46% dark and 100% recipes.","The only way for chocolate to solidify in the heated filter is if the water temperature drops low enough and long enough. Verify temperature with a laser thermometer on inside and outside of the trap - it should match the set temp. Monitor closely during holding phase (phase 4) and check in mornings. If on phase 4 at 9999 minutes, verify the phase 4 temperatures are set correctly. Also check that the pump speed for discharge to sifter is not too high - try 30Hz to prevent overflow issues.",Conche,Mechanical,medium,"Packint Tech Support - Alvaro",2023-12-04,Troubleshooting,"mag trap, solidifying, temperature, laser thermometer, phase 4, holding"
"Conche CO1000 software upgrade to match CO250 features","Can the CO1000 conche get the same software features as the CO250, including saved recipes?","Yes, the same software as the CO250 can be loaded onto the CO1000 via remote update. The conche must be empty for the software modification. Schedule a day when the CO1000 will be empty. Additionally, the level sensor from the CO250 can be moved to the CO1000, but requires a wiring modification and software update to work with the two connected ball mills. This prevents sifter overflow issues.",Conche,Software/PLC,medium,"Packint Tech Support - Giacomo",2023-12-05,Operation,"software upgrade, CO1000, CO250, recipes, level sensor, sifter overflow"
"Ball mill water temperature much lower than set point","Both ball mills have water temperature approximately 20 degrees below the set point. The outside is cold to the touch and chocolate is hardening on the walls.","The mills are working normally. The water temperature drops as needed to maintain the product temperature below the set point. Even if the jacket feels cold, the product temperature probe is reading correctly. The chocolate will not set as long as the product temperature is at the proper level. The water and product temperatures operate independently - cold water temperature during active milling is expected behavior.",Ball Mill,Mechanical,low,"Packint Tech Support - Alvaro",2023-12-07,Operation,"water temperature, cold, set point, product temperature, independent systems, normal behavior"
"Conche level sensor wiring modification for CO1000","Can we move the level sensor from the CO250 to the CO1000 to prevent sifter overflow?","Yes, but the sensor needs to control the CO1000 discharge valve to prevent overflow in the sifter. This requires both an electrical wiring modification and a software update. The level sensor must be connected to the CO1000 PLC so it can close the discharge valve when the sifter is full. Additionally, the two ball mills connected to the CO1000 may need wiring connections to the sensor. Giacomo will check the CO250 electrical diagram and provide the modification plan.",Conche,Software/PLC,medium,"Packint Tech Support - Giacomo",2023-12-07,Installation,"level sensor, CO1000, CO250, sifter overflow, wiring modification, PLC"
"Roaster drum arms broke again after rewelding","The internal arms of the T100 roaster broke their welds again after being rewelded previously. What's causing repeated failures?","If the welds were made without adding material (stainless steel welding rods), they will crack again. The 100kg+ rotating load generates enormous forces. Welds must be made WITH stainless steel welding rod filler material for sufficient strength. Simple fusion welds between the pieces without added material will fail. After rewelding with proper rods, check the drum rotation for rumbling noise at temperature - if noise occurs at the same rotation point, the reweld may have caused thermal expansion issues or the drum/collar may be off-center.",Roaster,Mechanical,critical,"Packint Tech Support - Giacomo",2023-12-11,Repair,"drum arms, reweld, stainless steel rods, filler material, weld failure, repeated"
"Roaster temperature probe depth","How deep should the temperature probes go into the T100 roaster?","Alvaro provided a photo showing the probe positions. The drum/sole probe is the reference temperature for the machine's control system. The product probe is a secondary reference only. Probe depth should be verified against Packint's installation diagram. The specific depth was confirmed by referencing the installed position photo.",Roaster,Mechanical,low,"Packint Tech Support - Alvaro",2023-12-11,Specification,"temperature probe, depth, drum probe, product probe, T100"
"Roaster rumbling noise after rewelding at operating temperature","After rewelding the T100 drum arms, the roaster produces loud rumbling at operating temperature but is quiet at room temp. The sound occurs at the same point each rotation.","This could be thermal expansion of the welded metal causing interference. Check if the drum is rubbing against the front plate by removing the front discharge hopper and visually inspecting during rotation at temperature. The rewelded arms may have shifted the drum's center of rotation slightly, or the thermal expansion at operating temperature causes the drum to contact the frame at one point per revolution.",Roaster,Mechanical,high,"Packint Tech Support - Giacomo",2023-12-12,Troubleshooting,"rumbling noise, rewelding, thermal expansion, drum rubbing, front plate, rotation"
